id,ref,product,rating,helpPos,helpAll,date,userId,infoTitle,infoText
"11","XX","B0002Q6362","4.0","0","1","August 16, 2011","AYVUKIZKBSQFC","Application isn't simple, but worth the time","I was a little scared by the multiple steps and having to mix my own matching color, but it worked out great. You can still tell it's a repair if you look, but it's not noticeable at all. The color mix directions are easy enough, the tricky part was cutting/shaping and installing the sub-patch. Tip: with the light sanding, stay within 1/4' to 1/2' from the tear. Any further will be mard to mask with the filler and could end up having noticeably less sheen that the repaired area and original leather. Overall great product."
"12","XX","B0002Q6362","2.0","4","5","July 27, 2011","A231B71ER3NYSK","Not so magical","I had about a 1 inch rip in the shape of a 'T' in my leather sectional.  I got a bid of $150 to get fixed professionally, and just thought I could save some money and do it myself.Some hints:-Put it on in several thin coats- I was able to get a pretty close match in color (as the directions state make it a wee bit lighter because it gets darker when it dries- don't sweat this though, if you don't have the color right, you can get it right with your second coat.)-Be careful with the sand paper- this is really what made a smallish area into a bigger repair then it needed to be.  Directions state to sand around the area- this removes the color of the leather requiring you to creep out further then you would like to.The rip is sealed now, and I have no doubt that it is sealed for good.  I can still see the line of the rip through the repair and kind of a clumpy hard rubbery patch sitting on top of it now.  I really am a glass half full kind of gal, but hindsight leaves me wishing that I had spent the $150 on a professional repair.  It is what it is."
"13","XX","B0002Q6362","1.0","1","2","July 2, 2011","A3FYKPWPV4MLHY","Don't Waste Your Time","Please bear in mind. This review has nothing against the seller. It's against the manufacturer.Don't waste your money on this product if you have a leather couch with a couple of fine tears in it. That's what I have and this was a waste of money. I would imagine it would work better if you had some outright holes in a leather couch, bigger than what I have. The patching pieces (sub-material and the leather) were just too big to fit into the holes I have.So now I'm just using the glue to see if I can glue the rips shut.Unfortunately, I really thought this would be a better product, based on the price compared to other similar products."
"14","XX","B0002Q6362","5.0","3","4","April 12, 2011","A1EMJ69XS6NTOC","Saved my couch!","I purchased this kit to try to revive a 13 year old leather couch, chair and ottoman.These pieces are super comfortable, timeless in design and fit my lifestyle. I spent good money on them originally, and I hated to have to go shopping to try to replace them. The issue is the wear and tear my dog (yellow lab) and my cat (siamese) have caused in the last 4 years. Leather is great with pets because it cleans so easily, but the pet claws eventually wear grooves into the leather.This stuff fills them in like plastic wood does for wood. The color matching is the hard part, but with patience I got a perfect match. I applied it with a makeup brush (eyeshadow brush to be exact) and then I dabbed off the excess with my fingertip. That set it with a natural dull texture like the original finish. The stuff dries quickly and came off my hands like a second skin peeling off, no mess whatsoever. I've done the ottoman so far with fantastic results, the repairs are almost invisible. I'll take before and after pictures of the couch and chair and add them to this review soon.Great product! This is going to save my furniture ;-)"
"15","XX","B0002Q6362","3.0","3","4","April 1, 2011","A1JRI4KUW8VSMN","Matching color is a little tricky","Tried this product to repair a restaurant booth that got several very small tears from a broken window.  Matching the exact 'red' of the booth seemed easy enough, however, when I came back to work on it again, the color didn't match as well as it seemed originally.  Also, use the sandpaper very sparingly.  I think the repair would have looked more inconspicuous had I not used the sandpaper at all.  In Leather Magic's defense....I have little patience for this kind of thing and it probably takes more time to really get it right."
"16","XX","B0002Q6362","1.0","6","8","March 29, 2011","A19FQ5AXSX1JI3","Not what you think it is","This was a total ripoff. I needed to cover up some cat claw prick marks on my leather barstools. They are black, so I didn't have to worry about color mixing. The first thing to go wrong was the finish on the product after it dried. It was very shiny, like patent leather. So my barstools looked like they had tone-on-tone polka dots! The second thing to go wrong was when I cleaned off the stools several days later during my routine housework. Using a normal, soft dishcloth, wet and well wrong out, no cleaning product on it at all, just plain water, I lightly wiped off my barstools, and there went my new shiny polkadots. All the leather repair rubbed right off like thin plastic. The best thing I can say is that the claw marks are still there and I am right back where I started. The worst thing I can say is I wasted my money on this product. I definitely wouldn't recomend it for a fine piece of leather furniture!"
"17","XX","B0002Q6362","5.0","2","3","March 21, 2011","A22ERH13DGA28Z","quite good","I think success depends on your ability to match your own color but I was ultimately really surprised at how good it looked. They dont give you much though. So after very good success with the 1st kit, I had to buy two more for enough to patch up my sofa"
"18","XX","B0002Q6362","2.0","0","0","March 8, 2011","AM6ORVCEVA2UQ","Paint rubbery","Wish I could say that this product was great but when I opened the paint colors they were all rubbery and would not mix or spread easily!"
"19","XX","B0002Q6362","4.0","2","3","February 20, 2011","A2E212XZF1Q9BJ","Worthwhile","Repaired a tear and touched up a few nicks. Saved me from buying a new sofa. I wish I would have matched the color a little better. That was my fault though. I was too impatient and used up all the white so i couldn't lighten the color more. Also touched up my black leather car seats. Black is easy no mixing."
"20","XX","B0002Q6362","5.0","2","3","February 6, 2011","A28PODS45EQUR9","It did the trick!","The manufacturer makes it clear that this kit is NOT intended for use with suede. I bought it anyway, figuring what the heck, it's worth a try when the alternative was to throw away my torn suede jacket or pay a lot for a professional repair, and maybe I'll need it for something else down the road. Well, I just tried and am absolutely delighted with the results. It was really easy to use and no one is going to notice the repair."
"21","XX","B0002Q6362","2.0","0","1","February 5, 2011","A2A3O8SJE9CUJR","Does not repair leather","The past reviewer was correct, if you have a large rip, DO NOT USE THIS PRODUCT, unless you want everybody to know where the rip is as it show up even worse.Would not recommend this product at all."
"22","XX","B0002Q6362","1.0","2","3","January 18, 2011","A3TFSZWQZ0ZYLE","Is not what you want","I followed the directions to the T. In a few days the split started showing on top of the dried so called paint. PLEASE SAVE YOUR MONEY!"
"23","XX","B0002Q6362","3.0","5","6","January 12, 2011","A19CDVMNHSQF4S","Works, but only for tiny repairs - too messy","Just too messy for anything over 1'. Very binding, but very messy - not an even finish for anything over 1' in size. Also, not for smooth leather."
"24","XX","B0002Q6362","1.0","1","2","November 23, 2010","A1ANBXAZM9GH71","Disaster","This product was an absolute disaster.I had a huge hole in my leather couch, which this product describes how to put a subpatch and glue the pieces together- except that the glue was old and putty-like; it would not hold anything together!Secondly, although it claims to tell you how to combine the basic colors to get any color in the world, its a very basic description - like, tan is a combination of yellow, orange, white and brown. this resulted in a salmon colored liquid when i tried to make tan.Anyhow, in desperation to get my couch not to continue to rip, I took out a needle and thread and sewed it together. Also now have salmon colored streaks on that cushion, which is not pretty.I returned the product for a full refund."
"25","XX","B0002Q6362","5.0","0","10","November 23, 2010","A1NWB9DN2PNS25","For Tcat's car seat,havint used it yet but it really looks like the real deal","I havint used it yet but you can tell from looking at the kit that it's going to be the right choice. I know it wont be 100 % but its going to prolong and save a $1000 replacement corvette car seat for a few more years... Ive been shopping along time and am happy to have found this item."
"26","XX","B0002Q6362","2.0","1","2","November 21, 2010","A1GTIKVLT1U47U","Not for small holes","I bought this product to try to fix and conceal several small holes in my car's leather seating. It really did a pretty poor job. The holes are still pretty noticable. I was able to get a good color match. I also tried the product on some minor scratches on a leather chair. That application worked much better. Overall, the product is probably better suited for scratches than holes or rips. And make sure to go light on your colors, because you don't have much white to play around with to lighten your mixture up. You will also need many more alcohol wipes than are provided in the kit."
"27","XX","B0002Q6362","1.0","5","6","November 20, 2010","A3IBX0ZWOY36FZ","not worth it","Do not bother with this kit. You get one tiny piece of backing and one small piece of leather. I opened the glue and couldn't figure out why it wouldn't squeeze out. Finally pried off the top to find that the entire bottle had already dried up - and I had just opened it for the first time. Definitely not worth it."
"28","XX","B0002Q6362","5.0","1","2","November 18, 2010","A29789LHUHPT51","Saved a lot of money","I recently bought used leather couches. There was a cut in the leather, and this product helped make it disappear. The couch cost over $1450 new I got it for $170 plus this product. Looks great."
"29","XX","B0002Q6362","5.0","0","1","November 18, 2010","ASCIAYJNQTFVS","Fantastik","This product is fantastik, I bought it (with no much hopes) to repair my husband's reclinable arm chair.  He use the chair to sleep because he has health problems.  This leather chair was damage in various areas.  I am amazed how easy were the instructions and all the process.  The final result a reclinable arm chair like new.  I recommend it without reserve."
"30","XX","B0002Q6362","1.0","0","5","October 27, 2010","AYMQRGJNKMC0J","leather patch","Its junk. didnt work at all. had to throw it away. complete waste of money."
"31","XX","B0002Q6362","4.0","2","3","October 23, 2010","A3S9HR74ZGTIT","Adhesive works good on leather; hard to get right color combo","The glue works well on leather...it is bendable and seems to hold well.  Because I am not a professional, the color doesn't exactly match--it's very hard to get it to match completely.  As a result, it looks a bit unevenly colored and unevenly textured after I spent lots of time trying.  You can still tell there was a problem in the car seat but the cut is held together so the problem is fixed but it doesn't look great."
"32","XX","B0002Q6362","4.0","1","2","October 9, 2010","AOB9LK32CXZMG","Work Pretty Damn Well","I was a bit skeptical at first but I have to say this product delivered. I hadvintage style aged leather that had become a bit worn in some areas and had cracksthat began to open in others and was able to repair them with this product. The repairsare not invisible but they are satisfactory by far for the price of this kit."
"33","XX","B0002Q6362","1.0","0","5","August 26, 2010","A3JC8NA0QSKJ77","Should be called box o junk","Ok  I was allready to go with this stuff....  then I tried to use the adhesive,  it got jammed as I was squeezing it out,  so I popped off the little nozzle and applied through the larger hole in the jug,  then the whole jug of adhesive got hard.  There goes the adhesive... so I used some of my own adhesive...  right now I am letting the leather patch dry but i am not hopeful,  waste of $30.00  use that money for somebody to fix it for real"
"34","XX","B0002Q6362","5.0","2","3","July 11, 2010","A3TFYP7NSRY983","Worked as well as could be expected","I spent a lot of time looking for the perfect patch kit, then gave up and decided to start cheap (this one). It worked perfectly. Yes, you can tell there was once a hole if you look very carefully, but nobody is going to casually notice it. My couch is black so the color matching wasn't a problem. I imagine light colored leather, such as beige or brown would be quite difficult to match with this kit."
"35","XX","B0002Q6362","5.0","53","58","July 6, 2010","A389K835AL7DWF","Good DIY product with excellent instructions","I'm reviewing this product as what it is--a product for Do-it-Yourself, non-professional types. I wouldn't expect the repair to be completely unnoticeable. Using that standard, I've given this five stars.Positives:*The instructions are EXCELLENT, particularly the very detailed color mixing instructions.*Plenty of colors of compound are provided, ensuring that the correct color can be mixed. Also I will be able to use this kit again if necessary (though I'll need to provide my own patch next time.)*The materials are easy to work with if directions are followed.Now, this doesn't look perfect on my leather chair. We had a large rip (about 4 inches.) I can see where the rip is. But our chair is a burgundy textured leather. Neither the color nor the texture is uniform, so there would be no way to use a kit like this and have the repair compound blend perfectly with the leather. But it looks pretty good, certainly way better than a rip. It's not immediately noticeable if you're not looking for it.For the price (I paid about $25), this is a fantastic way to repair leather at home.I've uploaded some photos of the repair."
"36","XX","B0002Q6362","4.0","17","20","May 10, 2010","A32VUK5VY3V11D","Saved my Sofa!","The instructions were a bit confusing, but I still managed an invisible repair on quite a large tear!  I definitely saved me from having to buy a new sofa for awhile.  I'd recomend it, but do read all the instructions through to be sure you use the product correctly."
"37","XX","B0002Q6362","4.0","16","19","April 6, 2010","A4XEXZ730N495","Inexpensive leather repair","This product works well when you follow the instructions, but it takes some patience. I accidentally oversanded the area I was repairing, which could have made the leather look worse, but the leather conditioner included in the kit seems to have fixed it. I was repairing cat claw punctures in a dark reddish-brown leather chair, and I think this repair won't be noticeable, as the damage is lower on a chair leg. Take the time to mix the color to match the leather, do the repairs in daylight, and be careful to keep the mixture as close to the damaged areas as possible when applying, and it works pretty well!"
"38","XX","B0002Q6362","4.0","19","23","March 4, 2010","A2FM394B2C7HRK","Does the job it is designed for","My dogs finally put a 1 inch cut/hole in my $4000 leather couch.  I followed the instructions for the kit, mixed a near perfect match with the colors provided (deep wine/maroon color) and applied approximately 3 separate coats to the damaged area allowing for complete drying in between coatings.  I was very pleased with the result, the couch is sealed and cannot tear further and the patch is very discreet.  I would recommend this product and for those who seem to have problems with it my guess is that care was not taken with the instructions."
"39","XX","B0002Q6362","4.0","15","20","February 21, 2010","A2SVCTI5P39NS5","Better than expected and worth the money","I purchased this leather repair kit over others based on feedback from others and found that to be very helpful.  We had a 2' tear in our dark brown leather couch which looked bad and also concerned us that it would only get worse.  Initial estimates to repair it professionally were looking at $200-400 in our area so now I am looking at do I just replace the couch.  I went ahead with buying this product knowing that it could only get worse but was very happy with the end result.  The mending went very well and the color fill blended in nearly perfect.  The work is not prefect though.  We can tell where the tear was and my skills at mending and filling are meek but if you did not know that there was a tear there before, 95% would never know.  I also repaired my Mountaineer leather seat which had a 3' cut.  Again the mend went well but the color on the light grey was harder to match.  Again, way better than before and bottom line both cut's are secure and no longer at risk at getting worse.  I didn't give this a 5 star since I could not get the product to have a perfect result, but I would definitely support them."
"40","XX","B0002Q6362","5.0","68","71","October 25, 2009","A3EB8ZJTB47XBR","Works great!","I had a tear in my leather sofa (blame the dog!) and had read about this product in a design blog I follow. I rarely leave feedback for products, but I felt I needed to since I was almost dissuaded from purchasing it because of the inconsistent reviews. I just completed repairing the tear--which was about 1.5 inches long and went all the way through the leather--and it looks SO much better than I had anticipated. I have the dark brown leather Kramfors sofa from Ikea and no one would be able to tell there was a tear unless they knew exactly where to look, and even then they might not notice. I was able to mix the tinted filler compound to match the sofa exactly, but this might be a bit trickier for those with light or unusually colored fabrics; I think it could be done well, but it would take more time and patience when mixing the compound. I was also lucky in that the leather in the sofa has a grain, so it makes any imperfections leftover from the repair kit (or my application thereof) less noticeable.Overall, I am extremely pleased with the Leather Magic kit and highly recommend it. Believe me, the end result is worth way more than the cost of the kit."
"41","XX","B0002Q6362","5.0","139","144","July 8, 2009","AGZ0Q7Z4FP952","Better than I expected.","I wasnt expecting much when I ordered this kit. My sofa and loveseat from 'Garbage-To-Go' had two tears in the leather just one year after purchase. This was caused by the leather being so thin and defective in places. Called a leather repair company, who quoted $150-$200 for the repair but wouldn't even guarantee the repair because the tear was in the seat cushion. Why bother then?  Ordered this kit as a last resort and figured I didnt have  anything to lose.  Repairing the leather does takes a little time, but with this kit the repair is done the proper way, i.e. with a subpatch under the tear giving it more strength. I was fortunate in that I didnt have to mix the color compound because the brown color just happened to match my couch perfectly. However, I would have felt comfortable mixing the colors if neccessary and the company even offers another kit where they will custom mix colors for you. I called Leather Magic twice for advice and they were really helpful. So far, its been two weeks and I am very happy with the results. My repair is not that noticeable because my leather is dark brown, but you need to have realistic expectations and realise that leather repairs are not going to be invisible. My goal was to get a few more years from these leather couches that cost me $3,000 and so far I'm pleased with the results from this little $25.00 kit.UPDATE.....(Nov 2010) Its now 18 months later and the original repair patch is still going strong! In fact just like the company said, the repair is stronger than the original leather. 2 more tears have since developed on my paper thin leather Garbage-to-Go couch which were quickly dealt with by my wonderful little kit. Oh yeah, I'm  getting a pro at this!"
"42","XX","B0002Q6362","1.0","31","45","March 4, 2005","AXX54VQRAT01M","BEWARE","If you have a rip of any size in your leather I would not recomend this.  The product says it repairs smaller rips, I had a quarter inch rip in my couch and followed the instructions provided and only accomplished one thing making sure everyone knows about the rip now.  I would recomend looking for a professional to repair any expensive piece of leather."
"43","XX","B0002Q6362","5.0","1","1","May 15, 2014","A5L2ZR3WH9MOI","Excellent","It is great! It is strong enough to stabilize the tear in a very used part of the leather cushion on our couch. The colors allowed me to mix, the green, brown and a tiny dab of black to get the exact color of green I required for the task."
"44","XX","B0002Q6362","4.0","0","0","May 3, 2014","A13W30LM385HMX","Takes some skill","It kept leather from tearing more and was good size to begin with,however had hard time matching and keeping it small like tear,like said it dries fast and takes some skill. It did work well,just I didn't do as good as I like."
"45","XX","B0002Q6362","4.0","0","0","April 30, 2014","A1V016BRHPQ14S","worked great!","the repair is not completely invisible, since i know where to look, but no one has said anything. if you have a large tear, i would suggest ordering extra of the colors that you need."
"46","XX","B0002Q6362","4.0","0","0","April 29, 2014","A2FJTB2JCV4A2M","Solid fix, color-matching is hard","I had a few cracks in somewhat faded black leather, and the kit easily patched those. The problem was getting the color match right, and it was really hard to get the right gray."
"47","XX","B0002Q6362","5.0","1","1","April 9, 2014","AFBYIEBN8OG4E","Fast service and great product.","This product was delivered on time and preformed as advertised. It took me about an hour to make the repair. It wasn't perfect but it did look pretty good and keeps the seat from tearing more."
"48","XX","B0002Q6362","5.0","1","1","March 30, 2014","A1B3IG03CVLDSR","This kit saved my love seat.","We bought new leather furniture on liquidation sale, and got an extra discount because there was an inch long cut on the side of the love seat.We bought this kit to patch it. I'm not a very handy person, and definitely not crafty, decorative, artsy, or anything else you think you might should be to repair brand-new furniture. But, thanks to this kit, my couch was fixed in under 20 minutes.It comes with an empty container to mix your colors in, and a mixing guide. They're so easy to mix to get a good color match. The instructions are easy to follow, and work perfectly if you do.I covered the cut, let it dry overnight, covered it once more, and cleaned the area after it dried.I did notice that the leather cleaner seemed to slightly dry out the area I used it on, but I rubbed a bit of coconut oil on it, which fixed it back up.I'd definitely recommend this kit."
"49","XX","B0002Q6362","2.0","0","0","March 20, 2014","A1G9BY3VXWP3SB","ok","It looked good at first, but now after several weeks it is starting to peel up.  I don't know if it is 'operator error' or the product."
"50","XX","B0002Q6362","3.0","1","1","March 19, 2014","ACGN105TFAK3","Okay product for minor leather repair","I bought this to repair some severe rips on our leather headboard.  The directions are easy but the technique for application affects the final look of your job.  While I am not completely done with this project, the product has covered the rips.  It isn't pretty--It still looks like I tried to cover a rip but at least it's not that big of an eyesore anymore."
"51","XX","B0002Q6362","4.0","0","0","March 17, 2014","A1LIYUOF9Q6YQG","Needed To Fix Claw Marks","My German Shepherd had punctured a few holes in our leather couches. This mended them up, and prevented further damage. Take your time matching the colors, as they seem to dry a little darker."
"52","XX","B0002Q6362","1.0","0","0","March 10, 2014","AN6570LEXVPZH","All dried up!","I Received the product and it was all dried out.  I attempted to use a thinner to see if would fix it and it didn't.  Threw it away.  I will never buy this product again and I don't recommend it.  I'd give it zero stars if I could!"
"53","XX","B0002Q6362","4.0","0","1","December 9, 2013","A22VJ079FIAHFR","Looked beautiful when applied","Well- It looked absolutely beautiful when I applied it!  The color started out much lighter (which I expected) then dried to match perfectly.  Blended right in.  However, it doesn't seem to be holding up.  I don't know if it's my leather - which could be some kind of synthetic stuff - not sure.  I'll try again and use more coats.  Let's see if that works."
"54","XX","B0002Q6362","1.0","1","1","December 8, 2013","A2IFGLG1H2VQFK","Wasted $20 on this product..","Did not work on our car seat. The ripped leather about 2-3 inches would tear out again after a few days."
"55","XX","B0002Q6362","2.0","0","0","December 1, 2013","A2RNEKSDDVVID2","Not that great for big jobs, or items that get used a lot.","It worked good for about a month then the patch  dried/broke and the hole is back. I don't recommend buying this to use on something that gets a lot of wear and tear like a sofa or a chair like I did."
"56","XX","B0002Q6362","2.0","0","0","December 1, 2013","A1SIGYJ5VS5J7P","Too hard to get the color right","Product is too hard to use and kept rubbing off.  Color matching was impossible for me and the product did not dry well."
"57","XX","B0002Q6362","5.0","1","1","October 30, 2013","AW8AVJUAAKGL","leather repair kit","I have not had the time to use it yet.Hope it works very well on my truck seat. Thank you."
"58","XX","B0002Q6362","3.0","0","0","October 14, 2013","A25TY8ZLRUZHJW","Instructions not too clear","Got decent results - looks like a patch job, but at least it's serviceable.  The mixing instructions were very confusing."
"59","XX","B0002Q6362","4.0","2","2","September 11, 2013","A3E1SXX2Q7HU3Y","Works pretty well!","It is a tad complicated to mix the stuff to the right consistency & color but once you do that, it works great."
"60","XX","B0002Q6362","4.0","0","0","September 3, 2013","ATY4YKFK1TRUI","Leather Repair Kit by Leather Magic","Certainly would do the job.  Difficulty in mixing paints to match the color is the greatest challenge, but not the fault of the manufacturer.  This kit contains what one would need to make any minor leather repairs."
"61","XX","B0002Q6362","3.0","0","0","September 3, 2013","A1V0JRW1XPL9M0","Leather Repair is ok","I would rate this as ok. It was not easy to match the colors and get it looking right. That could be me or it could be the product. It is hard to say which one it is but I am leaning towards the product though. It did repair the rip, which is a good thing. I just wish that I could have figured out how to color match better."
"62","XX","B0002Q6362","1.0","0","0","August 5, 2013","A1MNQN1W5U06F","Don't buy","The kit includes base colors that are to be mixed to get a color matching the leather. Good luck with that. This is nearly impossible. Add a little of this, then add a little of that.... it is never right."
"63","XX","B0002Q6362","4.0","0","0","October 31, 2012","A12SFON59JAAKZ","Good Enough for Government Work!","If you're getting this to repair a $5000 genuine leather couch then just keep walking. Get a professional. But if you've just an average-priced or bicast couch this product is perfect. If you can get your colors right you will be pretty pleased. I spent some time mixing colors and everyone has been impressed with the results. Most have to really search and feel around to find the tear. It was originally about a 1 1/2 inch tear in a bicast leather couch and it was growing daily. If you have a rip in a bicast couch you need to stop it asap because it *will* keep ripping. Also, I put on about 4-5 layers of the goo over a 3 day period and it's held amazingly strong. It might even be stronger than it was before. Great product, a little pricey, but it's better than a nasty tear.As a side note, if you can send in a sample of your leather to Leather Magic, they will magic the color for you."
"64","XX","B0002Q6362","5.0","0","0","October 24, 2012","A2R0H6EC9DF8DA","Very good repair kit","This is the second time using this product to repair a tear in a leather sofa. Works pretty much as advertised. Will repair small tears. It does take some time, several light layers, to make a good repair, but the end result is good. Toughest thing is color matching, but the included color guide is helpful. The first repair I did (same spot) held up for 2-3 years (sitting directly on it daily). I'm hoping I did a better job this time, and it will hold up for a few years. A lot cheaper than the alternative (new sofa)."
"65","XX","B0002Q6362","5.0","0","0","September 13, 2012","A1YHKYBXLX8GNR","Oh my god!","This product is pretty freakin good.  I agree with other reviews that you have to have 'realistic expectations'.  That means, you may not be able to get it so perfectly patched that somebody cleaning it could not tell, but boy you can get close.  If you have ever painted a car (I have not) then I bet you could do even better than me.  I patched a 3 3-5 inch cuts on a colored leather cushion and I was able to match the color almost exactly on the second try.  Also, I would recommend doing one spot first, not all of them at once if you have more than one.  After the first one you learn some things.  Use soft leather backing as a patch instead of they include in this kit ..at least this is what  a pro told me to do.  I have no complaints with this kit and am actually suprised how good I was able to get the repair.  If the spot looks 'like rubber' as one review said, you put too much on at once and you may want to use an old tshirt or something to dab and help add realistic looking texture.  Great product for $25! Probably even for $75!"
"66","XX","B0002Q6362","2.0","0","0","September 10, 2012","ASAXJHAZDLZ1H","leather repair kit by leather magic","didnt like it at all. just used it once on my leather couch. after using it, the leather got harder and started ripping more. I will never recommend this product."
"67","XX","B0002Q6362","4.0","0","0","July 17, 2012","A2W27A9J2EKYMR","The glue does the work... the color..... hmmmmmm","I have a crack on my white leather car seats. However, I wasn't brave enough to try the colors on my seats... The color set has white, but it doesn't match my seat's color and it was really hard to tell which color I should mix to match the seat... This package is not expensive. The glue does the work... it fixed the crack but left some dark color marks on it."
"68","XX","B0002Q6362","4.0","1","1","June 1, 2012","A1EPNJ5ZFCJNUQ","Does a fine job if you take care","I used this item to repair a worn Lay-Z-Boy chair armrest.I didn't get a perfect match on color (my choice), and I didn't do a perfect job, but it's very adequate and serviceable."
"69","XX","B0002Q6362","5.0","1","1","May 23, 2012","A3GM3PQ1D1186V","Very pleasantly surprised!","I somehow ripped my nice, black leather coat - an L-shaped tear about 1' both vertically and horizontally in a spot that's over my pants' right rear pocket.  I took it to a leather shop here in LA and they quoted me $75 to repair it (mostly labor no doubt).  On the advice of a co-worker, I figured I'd give this kit a try before popping for that much.  The tear's location was another big factor in my decision give this kit a try since it's only visible to people behind me who look down (which I would question anyway...)I received the kit, followed the simple instructions, and 30 minutes later voila! no more tear!  It's not invisible by any means, but since my jacket is black with a slightly faded appearance/finish, the kit's black coloring blended in perfectly with the leather's appearance and color.  And although the kit includes several colors and instructions how to blend them to achieve the desired color, I was fortunate that I only had to tone down the black coloring to account for the faded look of the leather.  If the user needs a color other than black then your mileage may vary..."
"70","XX","B0002Q6362","1.0","3","5","May 14, 2012","AWVF3B78FMQPY","waste of time and money","I bought this kit from magic mender website. 1st problem it does not match the color then when you left your car under the sun wow it is so sticky. It will look nice as long you don't use and seat on it. One more thing it doesn't last. In other words it is a useless thing."
"71","XX","B0002Q6362","2.0","2","2","February 6, 2012","ABOXJPBWX4EUF","Rubbery patch","Better than nothing, but not much! Had about an inch and a half tear in a leather chair head rest.. Followed the instructions and it turned out very visible and more like a rubbery patch than soft leather. I think it will keep the tear from getting bigger but it looks terrible."
"72","XX","B0002Q6362","4.0","1","2","February 3, 2012","A13EWJ65NMOTDY","It works!","The product works very well to fix a hole or tear in leather, mine was a couch.  The only problem I had was the cleanser took the shine out of the leather.  So, if you have a shine to the leather make sure you use the cleanser sparingly only on the area you intend to directly fix.  Otherwise, I was able to match the color almost 100%.  Very good product.  My work looked a little sloppy so you have to be very careful and do it in stages.  I will use this again if I have another rip."
"73","XX","B0002Q6362","5.0","1","1","January 17, 2012","A21TLUHONZQQ92","It was easy!","I got my couch fixed and it looks great! It was so easy to match the colors and repair it myself. Great product. Quick service. Thanks!"
"74","XX","B0002Q6362","5.0","1","1","January 16, 2012","ADUEJ5PAX872B","Great repair","I had my leather surface peel off to a expensive camel leather couch I have and this worked great. You have to add the darker little by little and test the color on the area before putting it on to see if the color had to be adjusted. But worked great. Can't even tell it peeled. Just remember, the color dries darker when dried. Highly recommend"
"75","XX","B0002Q6362","5.0","0","0","January 9, 2012","A101XAAZT2S5DO","Awesome product - would buy again","we have a 6 year old leather couch that had worn on one cushion and a 3'x3' hole had formed.  It really needs to be reupholstered, but I don't have the funds for that right now.  I bought this kit instead for a fix.I was super worried about using it because I'm not a DIY person and had never done a repair like this, but the instructions were so simple and the patch looks good.  I'm not going to lie and say it isn't noticeable, but compared to the hole that was there before - this is a dream!"
